season,teams,superflex,mc_points,greedy_points,adp_points
2022,8,0,1659.0299999999997,1686.918,1626.81
2022,8,0,1677.5160000000003,1701.2779999999998,1502.37
2022,8,0,1691.798,1686.49,1604.298
2022,8,0,1686.2179999999998,1695.678,1297.29
2022,8,0,1674.6280000000002,1679.648,1582.5279999999996
2022,8,1,1987.556,1970.904,1745.638
2022,8,1,2034.6580000000001,1959.694,1926.242
2022,8,1,2027.884,1996.8120000000001,1807.8799999999999
2022,8,1,2016.8200000000002,2003.918,1968.6859999999997
2022,8,1,2051.844,1997.7820000000002,1803.898
2022,8,1,2019.7240000000002,1936.532,1582.99
2022,8,1,2011.4420000000002,1940.0579999999998,1864.124
2022,8,1,2004.3400000000001,1937.2319999999997,1922.9120000000003
2022,8,1,2015.8680000000002,1983.9299999999998,1969.3860000000002
2022,8,1,2027.7659999999998,2052.294,1737.5979999999997
2022,8,1,1989.1960000000001,2000.1459999999997,1796.264
2022,8,1,1974.8359999999998,2028.0539999999999,1867.0739999999998
2022,8,1,2025.0439999999999,2002.626,1934.106
2022,8,1,1999.052,1934.9620000000002,1955.626
2022,8,1,2016.454,1955.25,1986.8059999999998
2022,8,1,1985.334,1992.1659999999997,1825.824
2022,8,1,2014.886,1968.136,1957.336
2022,8,1,1969.5320000000002,1910.1599999999999,1749.0959999999998
2022,8,1,1996.7320000000002,1941.9119999999998,1942.742
2022,8,1,2006.43,1940.638,1828.456
2022,8,1,2016.3759999999997,1975.826,1747.402
2022,8,1,1995.4459999999997,1986.3519999999999,1903.6639999999998
2022,8,1,2028.6739999999998,1980.676,1930.9859999999999
2022,8,1,2049.034,1997.952,1869.804
2022,8,1,1986.626,1963.812,1732.876
2022,8,1,2003.924,2047.3139999999999,1907.4199999999998
2022,8,1,1993.386,2041.8039999999999,1781.646
2022,8,1,1985.98,1969.3059999999998,1755.8
2022,8,1,1999.8960000000002,2010.0439999999999,1942.7799999999997
2022,8,1,1999.678,2012.806,1898.558
2022,8,1,2043.7839999999999,1939.262,1796.448
2022,8,1,2004.744,1938.2559999999999,1908.308
2022,8,1,1987.5339999999999,1966.46,1809.35
2022,8,1,2017.6900000000003,1940.888,1752.5259999999998
2022,8,1,2023.284,1968.52,1947.682
2022,8,1,2034.724,1940.3079999999998,1672.416
2022,8,1,2042.5880000000002,1943.5279999999998,1919.1260000000002
2022,8,1,2003.26,1948.2879999999998,1739.8259999999998
2022,8,1,1988.996,1884.9460000000001,1955.5240000000001
2022,8,1,1955.4579999999999,1969.7659999999998,1814.242
2022,10,0,1663.31,1615.0880000000002,1523.31
2022,10,0,1663.43,1626.908,1501.3179999999998
2022,10,0,1599.9379999999999,1611.848,1607.1200000000001
2022,10,0,1685.6599999999999,1595.5279999999998,1557.466
2022,10,0,1652.758,1615.0880000000002,1578.2599999999998
2022,10,0,1680.6999999999998,1609.788,1301.2459999999999
2022,10,0,1686.0799999999997,1683.3379999999997,1405.9660000000001
2022,10,0,1605.3880000000001,1690.2279999999998,1608.986
2022,10,0,1665.1960000000001,1615.0880000000002,1522.9219999999998
2022,10,0,1644.348,1615.0880000000002,1550.7359999999999
2022,10,0,1675.606,1615.0880000000002,1586.2040000000002
2022,10,0,1607.116,1662.75,1548.8580000000002
2022,10,0,1669.456,1666.7579999999998,1535.6999999999998
2022,10,0,1678.4080000000001,1615.0880000000002,1439.5059999999999
2022,10,0,1664.688,1684.6499999999999,1612.558
2022,10,0,1680.12,1613.9879999999998,1451.526
2022,10,0,1607.288,1675.5,1580.5300000000002
2022,10,0,1608.9280000000003,1660.6559999999997,1598.216
2022,10,0,1656.94,1615.0880000000002,1588.528
2022,10,0,1711.426,1658.2479999999998,1617.3859999999997
2022,10,0,1598.1079999999997,1579.76,1472.1499999999999
2022,10,0,1620.646,1608.098,1491.81
2022,10,0,1657.676,1673.3600000000001,1571.8660000000002
2022,10,0,1633.878,1665.62,1540.436
2022,10,0,1626.168,1681.94,1595.0860000000002
2022,10,0,1609.206,1673.638,1596.9079999999997
2022,10,0,1681.1660000000002,1659.328,1233.91
2022,10,0,1668.316,1611.3380000000002,1574.5480000000002
2022,10,0,1611.698,1659.94,1571.146
2022,10,0,1618.758,1650.02,1617.386
2022,10,0,1608.4879999999998,1643.8400000000001,1576.148
2022,10,0,1611.426,1652.4479999999999,1357.486
2022,10,0,1612.446,1642.4800000000002,1601.4679999999998
2022,10,0,1635.728,1613.9879999999998,1580.7859999999998
